"Relative Time (Process)","final_final-v0 - system/gpu.0.gpu","final_final-v0 - system/gpu.0.gpu__MIN","final_final-v0 - system/gpu.0.gpu__MAX"
"6111.312225679","80","80","80"
"6121.855140518","97","97","97"
"6126.313586311","97","97","97"
"6136.855070916","62","62","62"
"6141.312511681","99","99","99"
"6151.854059389","94","94","94"
"6156.313453096","78","78","78"
"6166.855591689","99","99","99"
"6171.312702938","66","66","66"
"6181.854168807","97","97","97"
"6186.313189348","97","97","97"
"6196.854909166","99","99","99"
"6201.31199483","99","99","99"
"6211.855626566","99","99","99"
"6216.312057726","99","99","99"
"6226.855976866","96","96","96"
"6231.313544067","62","62","62"
"6241.855777471","98","98","98"
"6246.313268653","97","97","97"
"6256.855451181","66","66","66"
"6261.312860366","98","98","98"
"6271.855822837","64","64","64"
"6276.312689362","94","94","94"
"6286.855045117","82","82","82"
"6291.312048922","99","99","99"
"6301.855626586","99","99","99"
"6306.312015423","95","95","95"
"6316.85589884","99","99","99"
"6321.312969439","59","59","59"
"6331.855150917","99","99","99"
"6336.313829299","99","99","99"
"6346.854861027","74","74","74"
"6351.313322329","83","83","83"
"6361.854834236","66","66","66"
"6366.312907931","68","68","68"
"6376.855496239","82","82","82"
"6381.312453576","97","97","97"
"6391.855893558","98","98","98"
"6396.314004404","96","96","96"
"6406.855004308","98","98","98"
"6411.31173678","99","99","99"
"6421.855130235","68","68","68"
"6426.313218972","77","77","77"
"6436.854917855","98","98","98"
"6441.313440062","64","64","64"
"6451.856242555","98","98","98"
"6456.313367119","97","97","97"
"6466.857570731","99","99","99"
"6471.311447304","99","99","99"
"6481.855631807","73","73","73"
"6486.312793886","66","66","66"
"6496.855671286","98","98","98"
"6501.312720571","98","98","98"
"6511.854912104","99","99","99"
"6516.312098547","99","99","99"
"6526.855157844","72","72","72"
"6531.313326582","82","82","82"
"6541.855266495","97","97","97"
"6546.313287781","63","63","63"
"6556.856151346","87","87","87"
"6561.312951178","78","78","78"
"6571.855463156","92","92","92"
"6576.312478234","97","97","97"
"6586.856121008","97","97","97"
"6591.312524771","97","97","97"
"6601.854974097","82","82","82"
"6606.311931578","99","99","99"
"6616.855419702","99","99","99"
"6621.312815199","79","79","79"
"6631.855828753","91","91","91"
"6636.313225761","59","59","59"
"6646.855234804","98","98","98"
"6651.313548081","65","65","65"
"6661.856590256","81","81","81"
"6666.313533167","99","99","99"
"6676.855931585","89","89","89"
"6681.312844832","98","98","98"
"6691.855012164","97","97","97"
"6696.313377371","99","99","99"
"6706.855208694","68","68","68"
"6711.313345013","95","95","95"
"6721.855432731","98","98","98"
"6726.313444113","72","72","72"
"6736.854935741","99","99","99"
"6741.313169374","77","77","77"
"6751.854808539","82","82","82"
"6756.312634048","97","97","97"
"6766.854843257","97","97","97"
"6771.313889054","73","73","73"
"6781.855241974","73","73","73"
"6786.31231645","70","70","70"
"6796.855027625","98","98","98"
"6801.31274368","97","97","97"
"6811.853947706","97","97","97"
"6816.313001141","97","97","97"
"6826.854834228","91","91","91"
"6831.312173314","99","99","99"
"6841.858181609","92","92","92"
"6846.313295893","63","63","63"
"6856.857549354","99","99","99"
"6861.312966875","98","98","98"
"6871.854996574","98","98","98"
