"epoch","final_final-v0 - train_loss_epoch","final_final-v0 - train_loss_epoch__MIN","final_final-v0 - train_loss_epoch__MAX","final_final-v0 - _step","final_final-v0 - _step__MIN","final_final-v0 - _step__MAX"
"298","0.7671685218811035","0.7671685218811035","0.7671685218811035","531","531","531"
"299","0.7653928995132446","0.7653928995132446","0.7653928995132446","542","542","542"
"300","0.7666676044464111","0.7666676044464111","0.7666676044464111","552","552","552"
"301","0.7658693790435791","0.7658693790435791","0.7658693790435791","563","563","563"
"302","0.7659052610397339","0.7659052610397339","0.7659052610397339","574","574","574"
"303","0.764667272567749","0.764667272567749","0.764667272567749","585","585","585"
"304","0.7658246159553528","0.7658246159553528","0.7658246159553528","596","596","596"
"305","0.7699244022369385","0.7699244022369385","0.7699244022369385","607","607","607"
"306","0.7673414349555969","0.7673414349555969","0.7673414349555969","618","618","618"
"307","0.7756835222244263","0.7756835222244263","0.7756835222244263","628","628","628"
"308","0.7756020426750183","0.7756020426750183","0.7756020426750183","639","639","639"
"309","0.7682639360427856","0.7682639360427856","0.7682639360427856","650","650","650"
"310","0.7643284201622009","0.7643284201622009","0.7643284201622009","661","661","661"
"311","0.7701205611228943","0.7701205611228943","0.7701205611228943","672","672","672"
"312","0.7624617218971252","0.7624617218971252","0.7624617218971252","683","683","683"
"313","0.7869186401367188","0.7869186401367188","0.7869186401367188","694","694","694"
"314","0.7900107502937317","0.7900107502937317","0.7900107502937317","704","704","704"
"315","0.7796121835708618","0.7796121835708618","0.7796121835708618","715","715","715"
"316","0.7749607563018799","0.7749607563018799","0.7749607563018799","726","726","726"
"317","0.7685122489929199","0.7685122489929199","0.7685122489929199","737","737","737"
"318","0.7761715650558472","0.7761715650558472","0.7761715650558472","748","748","748"
"319","0.7769572734832764","0.7769572734832764","0.7769572734832764","759","759","759"
"320","0.7693437933921814","0.7693437933921814","0.7693437933921814","770","770","770"
"321","0.7734745740890503","0.7734745740890503","0.7734745740890503","780","780","780"
"322","0.7810483574867249","0.7810483574867249","0.7810483574867249","791","791","791"
"323","0.7791765332221985","0.7791765332221985","0.7791765332221985","802","802","802"
"324","0.7764304280281067","0.7764304280281067","0.7764304280281067","813","813","813"
"325","0.7657408714294434","0.7657408714294434","0.7657408714294434","824","824","824"
"326","0.7680153250694275","0.7680153250694275","0.7680153250694275","835","835","835"
"327","0.7705562710762024","0.7705562710762024","0.7705562710762024","846","846","846"
"328","0.7693411111831665","0.7693411111831665","0.7693411111831665","856","856","856"
"329","0.7699089050292969","0.7699089050292969","0.7699089050292969","867","867","867"
"330","0.7721828818321228","0.7721828818321228","0.7721828818321228","878","878","878"
"331","0.7741972804069519","0.7741972804069519","0.7741972804069519","889","889","889"
"332","0.7896583676338196","0.7896583676338196","0.7896583676338196","900","900","900"
"333","0.7880696654319763","0.7880696654319763","0.7880696654319763","911","911","911"
"334","0.7780176997184753","0.7780176997184753","0.7780176997184753","922","922","922"
"335","0.7799967527389526","0.7799967527389526","0.7799967527389526","932","932","932"
"336","0.764927864074707","0.764927864074707","0.764927864074707","943","943","943"
"337","0.7672629356384277","0.7672629356384277","0.7672629356384277","954","954","954"
"338","0.7607722282409668","0.7607722282409668","0.7607722282409668","965","965","965"
"339","0.7757757306098938","0.7757757306098938","0.7757757306098938","976","976","976"
"340","0.7665696144104004","0.7665696144104004","0.7665696144104004","987","987","987"
"341","0.7723057866096497","0.7723057866096497","0.7723057866096497","998","998","998"
"342","0.7705012559890747","0.7705012559890747","0.7705012559890747","1008","1008","1008"
"343","0.7702489495277405","0.7702489495277405","0.7702489495277405","1019","1019","1019"
"344","0.7761613726615906","0.7761613726615906","0.7761613726615906","1030","1030","1030"
"345","0.7682632207870483","0.7682632207870483","0.7682632207870483","1041","1041","1041"
"346","0.7725968956947327","0.7725968956947327","0.7725968956947327","1052","1052","1052"
"347","0.7687466740608215","0.7687466740608215","0.7687466740608215","1063","1063","1063"
"348","0.763771653175354","0.763771653175354","0.763771653175354","1074","1074","1074"
"349","0.7627317309379578","0.7627317309379578","0.7627317309379578","1085","1085","1085"
