"epoch","onFlashIPA_v0 - train_loss_epoch","onFlashIPA_v0 - train_loss_epoch__MIN","onFlashIPA_v0 - train_loss_epoch__MAX","onFlashIPA_v0 - _step","onFlashIPA_v0 - _step__MIN","onFlashIPA_v0 - _step__MAX"
"237","0.8469299674034119","0.8469299674034119","0.8469299674034119","2583","2583","2583"
"238","0.8498229384422302","0.8498229384422302","0.8498229384422302","2594","2594","2594"
"239","0.8489931225776672","0.8489931225776672","0.8489931225776672","2605","2605","2605"
"240","0.8451130390167236","0.8451130390167236","0.8451130390167236","2616","2616","2616"
"241","0.8472708463668823","0.8472708463668823","0.8472708463668823","2627","2627","2627"
"242","0.8462466597557068","0.8462466597557068","0.8462466597557068","2637","2637","2637"
"243","0.8464025855064392","0.8464025855064392","0.8464025855064392","2648","2648","2648"
"244","0.8457782864570618","0.8457782864570618","0.8457782864570618","2659","2659","2659"
"245","0.854141354560852","0.854141354560852","0.854141354560852","2670","2670","2670"
"246","0.841262936592102","0.841262936592102","0.841262936592102","2681","2681","2681"
"247","0.8481285572052002","0.8481285572052002","0.8481285572052002","2692","2692","2692"
"248","0.8439066410064697","0.8439066410064697","0.8439066410064697","2703","2703","2703"
"249","0.8531408905982971","0.8531408905982971","0.8531408905982971","2714","2714","2714"
"250","0.8484562039375305","0.8484562039375305","0.8484562039375305","2724","2724","2724"
"251","0.8544334173202515","0.8544334173202515","0.8544334173202515","2735","2735","2735"
"252","0.8505145907402039","0.8505145907402039","0.8505145907402039","2746","2746","2746"
"253","0.8415637612342834","0.8415637612342834","0.8415637612342834","2757","2757","2757"
"254","0.8409456014633179","0.8409456014633179","0.8409456014633179","2768","2768","2768"
"255","0.8484857678413391","0.8484857678413391","0.8484857678413391","2779","2779","2779"
"256","0.8452470302581787","0.8452470302581787","0.8452470302581787","2790","2790","2790"
"257","0.8434831500053406","0.8434831500053406","0.8434831500053406","2800","2800","2800"
"258","0.8455990552902222","0.8455990552902222","0.8455990552902222","2811","2811","2811"
"259","0.8466779589653015","0.8466779589653015","0.8466779589653015","2822","2822","2822"
"260","0.8402402997016907","0.8402402997016907","0.8402402997016907","2833","2833","2833"
"261","0.8502042293548584","0.8502042293548584","0.8502042293548584","2844","2844","2844"
"262","0.8465997576713562","0.8465997576713562","0.8465997576713562","2855","2855","2855"
"263","0.8437309265136719","0.8437309265136719","0.8437309265136719","2866","2866","2866"
"264","0.8370065093040466","0.8370065093040466","0.8370065093040466","2876","2876","2876"
"265","0.8439708352088928","0.8439708352088928","0.8439708352088928","2887","2887","2887"
"266","0.841653048992157","0.841653048992157","0.841653048992157","2898","2898","2898"
"267","0.841234564781189","0.841234564781189","0.841234564781189","2909","2909","2909"
"268","0.8458312153816223","0.8458312153816223","0.8458312153816223","2920","2920","2920"
"269","0.8457175493240356","0.8457175493240356","0.8457175493240356","2931","2931","2931"
"270","0.8429722189903259","0.8429722189903259","0.8429722189903259","2942","2942","2942"
"271","0.8381839394569397","0.8381839394569397","0.8381839394569397","2952","2952","2952"
"272","0.8509038686752319","0.8509038686752319","0.8509038686752319","2963","2963","2963"
"273","0.8368087410926819","0.8368087410926819","0.8368087410926819","2974","2974","2974"
"274","0.8487992286682129","0.8487992286682129","0.8487992286682129","2985","2985","2985"
"275","0.8428963422775269","0.8428963422775269","0.8428963422775269","2996","2996","2996"
