"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.gpu","skilled-firefly-1 - system/gpu.0.gpu__MIN","skilled-firefly-1 - system/gpu.0.gpu__MAX"
"7457.09858","99","99","99"
"7457.098580597","99","99","99"
"7472.099438","94","94","94"
"7472.099438829","94","94","94"
"7487.100161","62","62","62"
"7502.100181","99","99","99"
"7517.100025","96","96","96"
"7517.100025797","96","96","96"
"7532.099745","75","75","75"
"7532.099745895","75","75","75"
"7547.099429","99","99","99"
"7562.100119","95","95","95"
"7577.099489","64","64","64"
"7577.099489853","64","64","64"
"7592.100393","99","99","99"
"7592.100393505","99","99","99"
"7607.100264","96","96","96"
"7607.100264192","96","96","96"
"7622.100266","76","76","76"
"7622.100266468","76","76","76"
"7637.099946","96","96","96"
"7637.099946414","96","96","96"
"7652.099013","69","69","69"
"7652.099013639","69","69","69"
"7667.100618","90","90","90"
"7682.100803","90","90","90"
"7682.100803225","90","90","90"
"7697.100002","99","99","99"
"7697.100002634","99","99","99"
"7712.098833","84","84","84"
"7712.098833953","84","84","84"
"7727.09941","99","99","99"
