"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MIN","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MAX"
"71537.099871","31704940544","31704940544","31704940544"
"71552.10077","31704940544","31704940544","31704940544"
"71567.100541","31704940544","31704940544","31704940544"
"71582.099862","31704940544","31704940544","31704940544"
"71597.099345","31704940544","31704940544","31704940544"
"71612.09917","31704940544","31704940544","31704940544"
"71627.099983","31704940544","31704940544","31704940544"
"71642.099507","31704940544","31704940544","31704940544"
"71657.099456","31704940544","31704940544","31704940544"
"71672.098605","31704940544","31704940544","31704940544"
"71687.098316","31704940544","31704940544","31704940544"
"71702.099777","31704940544","31704940544","31704940544"
"71717.100349","31704940544","31704940544","31704940544"
"71732.100311","31704940544","31704940544","31704940544"
"71747.100073","31704940544","31704940544","31704940544"
"71762.100541","31704940544","31704940544","31704940544"
"71777.099944","31704940544","31704940544","31704940544"
"71792.100602","31704940544","31704940544","31704940544"
"71807.09873","31704940544","31704940544","31704940544"
"71822.099743","31704940544","31704940544","31704940544"
"71837.09982","31704940544","31704940544","31704940544"
"71852.100289","31704940544","31704940544","31704940544"
"71867.100055","31704940544","31704940544","31704940544"
"71882.099563","31704940544","31704940544","31704940544"
"71897.100098","31704940544","31704940544","31704940544"
"71912.100121","31704940544","31704940544","31704940544"
"71927.099137","31704940544","31704940544","31704940544"
"71942.100067","31704940544","31704940544","31704940544"
"71957.09988","31704940544","31704940544","31704940544"
"71972.099734","31704940544","31704940544","31704940544"
"71987.101081","31704940544","31704940544","31704940544"
"72002.099654","31704940544","31704940544","31704940544"
"72017.099587","31704940544","31704940544","31704940544"
"72032.099062","31704940544","31704940544","31704940544"
"72047.100331","31704940544","31704940544","31704940544"
"72062.099358","31704940544","31704940544","31704940544"
"72077.0999","31704940544","31704940544","31704940544"
"72092.100238","31704940544","31704940544","31704940544"
"72107.101778","31704940544","31704940544","31704940544"
"72122.099627","31704940544","31704940544","31704940544"
"72137.099272","31704940544","31704940544","31704940544"
"72152.098868","31704940544","31704940544","31704940544"
